dataset,model_dim,ks,depth,num_layers,num_heads,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
NASA,128,3,1,3,4,B0006,0.06726222349838777,0.06450007235010465,0.087617918635212,0.25245273141648683,35,0.48836630907925693
NASA,128,3,1,3,4,B0007,0.06563772757848103,0.07145629692822694,0.07609493216327227,0.26622782193275085,16,0.41720373762978447
NASA,128,3,1,3,4,B0018,0.07123670447617769,0.06655456901838382,0.05987443317050122,0.2572859748347179,17,0.5436519674352698
NASA,128,7,2,2,4,B0005,0.06990093060515144,0.07500367471948266,0.08394090468653008,0.2725785498931473,23,0.49542305635851486
NASA,128,7,2,2,4,B0006,0.47124765000560065,0.06506524390230577,0.12157259755131787,0.2521651303847556,1,0.4473266147431873
NASA,128,7,2,2,4,B0007,0.06652310945921475,0.07138171275146306,0.07604535596519602,0.26608912533307333,22,0.39663231940496535
NASA,128,7,2,2,4,B0018,0.06432787313436468,0.0665069343522191,0.05926644460987765,0.2572074675949165,7,0.4721472881458424
NASA,128,2,4,4,4,B0005,0.06450885060158643,0.07521036081016064,0.07721672250235842,0.27315585157621525,19,0.9741849960424961
NASA,128,2,4,4,4,B0006,0.06739589470353993,0.06449970292548339,0.08755093846079845,0.2524543220270649,12,0.9464819133281708
NASA,128,2,4,4,4,B0007,0.07894944192634688,0.07151743401773274,0.08042379675668926,0.2662153924791752,31,0.8261203765869141
NASA,128,2,4,4,4,B0018,0.3247292252878348,0.06913298989335696,0.17097852556023924,0.25731230508537345,1,1.0340487957000732
NASA,128,7,4,3,4,B0005,0.0679261874068867,0.0752525320276618,0.07989431756849945,0.27315603654107057,33,0.8254856703416357
NASA,128,7,4,3,4,B0006,0.06706044044006955,0.06449347749973337,0.08745712112362393,0.25244524674288854,34,0.7983401748869154
NASA,128,7,4,3,4,B0007,0.06549167136351268,0.07149298288859426,0.07668432481915304,0.26627980123102724,7,0.7177079695242422
